City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,28.78,42,40,5.66,US,1684967093
1,kodiak,57.79,-152.4072,7.73,93,100,5.14,US,1684967093
2,jamestown,42.097,-79.2353,15.77,71,100,5.66,US,1684967094
3,queenstown,-31.8976,26.8753,12.91,28,98,2.86,ZA,1684967094
4,san jose del guaviare,2.5729,-72.6459,26.23,93,95,0.3,CO,1684967094
5,hithadhoo,-0.6,73.0833,27.76,77,98,3.81,MV,1684967094
6,mali,12.079,-12.2982,23.05,49,99,1.93,GN,1684967095
7,iqaluit,63.7506,-68.5145,-1.15,86,75,1.03,CA,1684967095
8,kununurra,-15.7667,128.7333,10.99,93,28,0.0,AU,1684967095
9,port-gentil,-0.7193,8.7815,26.98,89,40,4.63,GA,1684967095
10,santa rosalia,27.3167,-112.2833,28.73,32,6,1.73,MX,1684966945
11,edinburgh of the seven seas,-37.0676,-12.3116,15.05,66,90,12.08,SH,1684967096
12,avarua,-21.2078,-159.775,27.03,74,100,6.17,CK,1684967096
13,blackmans bay,-43.0167,147.3167,13.07,74,70,5.49,AU,1684967096
14,port-aux-francais,-49.35,70.2167,6.56,99,99,5.71,TF,1684967096
15,puerto natales,-51.7236,-72.4875,3.55,66,100,8.54,CL,1684967097
16,isafjordur,66.0755,-23.124,3.21,69,40,14.78,IS,1684967097
17,piranshahr,36.701,45.1413,13.2,61,69,0.09,IR,1684967097
18,howard springs,-12.497,131.047,20.95,61,83,2.88,AU,1684967097
19,arraial do cabo,-22.9661,-42.0278,19.98,88,0,1.54,BR,1684967098
20,bargaal,11.2864,51.0773,28.03,78,53,5.22,SO,1684967098
21,okeho,8.0333,3.35,23.83,90,100,1.72,NG,1684967098
22,punta arenas,-53.15,-70.9167,3.06,81,75,7.72,CL,1684967098
23,margaret river,-33.95,115.0667,13.52,71,86,4.87,AU,1684967099
24,waitangi,-43.9535,-176.5597,11.57,72,30,0.89,NZ,1684967099
25,hankasalmi,62.3833,26.4333,15.61,67,95,2.4,FI,1684967099
26,skawina,49.9752,19.8287,14.41,79,100,1.54,PL,1684967099
27,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,1684967100
28,midvagur,62.0511,-7.1939,7.46,70,75,13.38,FO,1684966819
29,adamstown,-25.066,-130.1015,23.69,74,99,2.9,PN,1684967100
30,puerto ayora,-0.7393,-90.3518,30.98,87,37,2.24,EC,1684967100
31,port alfred,-33.5906,26.891,20.18,42,67,4.39,ZA,1684967101
32,proletarsk,46.7031,41.7192,17.52,80,35,1.43,RU,1684967022
33,tazovsky,67.4667,78.7,-0.5,90,2,1.62,RU,1684967101
34,bethel,41.3712,-73.414,21.05,69,100,7.72,US,1684967102
35,loreto,22.2667,-101.9667,29.7,12,84,2.75,MX,1684967102
36,inhambane,-23.865,35.3833,21.5,78,4,4.48,MZ,1684967102
37,bilibino,68.0546,166.4372,6.71,58,35,1.59,RU,1684967103
38,olonkinbyen,70.9221,-8.7187,-1.6,93,100,19.36,SJ,1684967103
39,cestos city,5.46,-9.5828,26.83,86,100,4.27,LR,1684967103
40,katabu,-4.9333,122.5167,23.28,96,58,1.63,ID,1684967104
41,cabo san lucas,22.8909,-109.9124,33.17,25,75,2.06,MX,1684966867
42,grytviken,-54.2811,-36.5092,0.94,64,99,5.4,GS,1684967104
43,carnarvon,-24.8667,113.6333,18.6,77,76,8.65,AU,1684967104
44,west island,-12.1568,96.8225,26.99,83,40,7.72,CC,1684967105
45,bredasdorp,-34.5322,20.0403,12.72,61,3,2.62,ZA,1684967105
46,nova vicosa,-17.8919,-39.3719,23.32,85,24,5.63,BR,1684966970
47,invercargill,-46.4,168.35,10.59,88,48,2.77,NZ,1684967105
48,luderitz,-26.6481,15.1594,12.19,87,81,1.13,NA,1684966897
49,longyearbyen,78.2186,15.6401,2.91,75,75,5.66,SJ,1684967106
50,dangriga,16.9692,-88.2321,29.08,69,62,4.9,BZ,1684967106
51,butembo,0.15,29.2833,15.66,85,12,1.23,CD,1684967106
52,yarmouth,41.7057,-70.2286,18.26,89,100,3.13,US,1684967106
53,patterson,37.4716,-121.1297,25.93,39,1,1.33,US,1684967107
54,qaqortoq,60.7167,-46.0333,0.62,100,100,4.18,GL,1684967107
55,acarau,-2.8856,-40.12,26.24,81,87,5.41,BR,1684967107
56,carbonear,47.7332,-53.2148,10.91,73,0,2.47,CA,1684967107
57,la'ie,21.6477,-157.9253,28.98,71,12,7.16,US,1684967108
58,geraldton,-28.7667,114.6,11.23,76,0,5.66,AU,1684967108
59,lebu,-37.6167,-73.65,11.68,80,72,4.69,CL,1684967108
60,port elizabeth,-33.918,25.5701,18.51,81,0,6.17,ZA,1684967108
61,asha,54.9973,57.2722,15.66,60,22,1.79,RU,1684967108
62,taltal,-25.4,-70.4833,18.53,72,24,0.48,CL,1684966826
63,reggane,26.7158,0.1714,28.75,9,100,5.57,DZ,1684967109
64,vorgashor,67.5833,63.95,8.17,80,3,3.96,RU,1684967109
65,enewetak,11.3474,162.3373,27.85,76,100,6.44,MH,1684967109
66,susuman,62.7833,148.1667,2.74,72,23,2.04,RU,1684967109
67,senanga,-16.1167,23.2667,16.64,40,1,2.41,ZM,1684967110
68,arar,30.9753,41.0381,26.01,29,20,3.09,SA,1684967110
69,albany,42.6001,-73.9662,13.15,84,85,4.11,US,1684967110
70,prince rupert,54.3161,-130.3201,13.05,79,0,7.72,CA,1684967110
71,wakkanai,45.4094,141.6739,11.64,87,0,11.79,JP,1684967110
72,ust-nera,64.5667,143.2,2.18,87,82,2.33,RU,1684967111
73,yuzhno-kurilsk,44.0306,145.8556,10.2,60,100,2.3,RU,1684967111
74,lincoln,40.8,-96.667,30.5,29,40,4.12,US,1684966961
75,kalaleh,37.3807,55.4916,27.21,24,26,1.62,IR,1684967111
76,beloyarskiy,63.7119,66.6722,9.32,89,16,1.95,RU,1684967111
77,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,47,0,5.0,RU,1684966932
78,yellowknife,62.456,-114.3525,14.29,62,75,4.12,CA,1684967112
79,ushuaia,-54.8,-68.3,2.81,93,100,2.06,AR,1684967112
80,santiago,-33.4569,-70.6483,15.65,72,100,2.06,CL,1684966912
81,hammerfest,70.6634,23.6821,5.25,87,0,0.0,NO,1684967044
82,kayyerkan,69.3786,87.7439,-7.28,98,60,1.05,RU,1684967113
83,constantia,44.1833,28.65,15.39,81,15,0.8,RO,1684967113
84,kerikeri,-35.2268,173.9474,16.62,83,10,0.89,NZ,1684967113
85,awash,8.9833,40.1667,24.3,59,10,2.17,ET,1684967113
86,sao vicente,-23.9631,-46.3919,24.04,88,3,0.36,BR,1684967114
87,newman,37.3138,-121.0208,25.69,39,1,4.47,US,1684967114
88,kuta,-8.7233,115.1723,25.97,88,40,2.68,ID,1684967114
89,nam som,17.7704,102.1895,24.14,84,76,0.98,TH,1684967114
90,tura,25.5198,90.2201,21.42,77,13,1.77,IN,1684967099
91,tiksi,71.6872,128.8694,-6.09,92,63,0.96,RU,1684967115
92,urengoy,65.9667,78.3667,0.21,98,80,1.16,RU,1684967115
93,jiaojiang,28.6803,121.4428,16.67,88,43,1.31,CN,1684967115
94,horta,38.5333,-28.6333,15.57,83,66,4.92,PT,1684967115
95,sinabang,2.4803,96.3801,26.58,82,87,1.42,ID,1684966845
96,east london,-33.0153,27.9116,20.4,35,51,4.17,ZA,1684967116
97,mandalgovi,45.7625,106.2708,7.27,52,22,5.39,MN,1684967116
98,lompoc,34.6391,-120.4579,22.23,72,75,5.36,US,1684967116
99,banepa,27.6298,85.5214,18.18,77,40,1.54,NP,1684967116
100,kisangani,0.5167,25.2,23.04,82,94,1.25,CD,1684967116
101,machico,32.7,-16.7667,18.89,82,40,2.06,PT,1684967117
102,indiantown,27.0273,-80.4856,24.95,65,15,6.73,US,1684967117
103,grand falls-windsor,48.9332,-55.6649,15.84,37,6,1.34,CA,1684967117
104,raahe,64.6833,24.4833,11.05,98,100,0.81,FI,1684967117
105,ketanggungan,-6.9383,108.891,24.16,84,25,3.32,ID,1684967118
106,greater sudbury,46.49,-80.99,11.14,43,0,4.02,CA,1684966904
107,thompson,55.7435,-97.8558,20.09,22,75,5.14,CA,1684967118
108,barakani,-12.1356,44.4317,25.35,76,9,3.28,KM,1684967118
109,mersing,2.4312,103.8405,24.95,94,20,3.09,MY,1684967118
110,la passe,45.5549,-0.8967,16.13,67,99,6.42,FR,1684967119
111,nova sintra,14.8667,-24.7167,20.36,80,93,4.78,CV,1684967119
112,gaspe,48.8334,-64.4819,10.12,100,100,2.06,CA,1684967119
113,leh,34.1667,77.5833,6.96,69,100,1.68,IN,1684967119
114,inarajan village,13.2736,144.7484,26.11,88,100,22.65,GU,1684967119
115,port mathurin,-19.6833,63.4167,24.94,71,64,6.52,MU,1684967120
116,ilulissat,69.2167,-51.1,2.01,51,75,2.06,GL,1684967120
117,mejit,10.2753,170.8646,27.51,79,93,6.72,MH,1684967120
118,haiku-pauwela,20.9219,-156.3051,29.01,55,40,9.26,US,1684967121
119,port augusta,-32.5,137.7667,13.82,37,100,5.72,AU,1684967121
120,fort mcmurray,56.7268,-111.381,16.77,55,75,6.69,CA,1684966910
121,lihue,21.9789,-159.3672,26.77,72,75,6.69,US,1684967121
122,chichiriviche,10.9333,-68.2772,27.79,82,16,4.97,VE,1684967121
123,kapuskasing,49.4169,-82.4331,11.05,32,0,5.66,CA,1684966922
